,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
46,47,2004-01-20,Piso,Alquiler,Barcelona,53,249418,2004-08-11,Luisa
47,48,2004-01-20,Industrial,Venta,Barcelona,284,1457488,2004-07-06,Jesús
49,50,2004-01-20,Local,Alquiler,Tarragona,235,957625,2004-11-13,Carmen
52,53,2004-01-22,Suelo,Alquiler,Tarragona,158,1438748,2004-10-17,Carmen
53,54,2004-01-22,Suelo,Alquiler,Barcelona,71,686996,2004-05-30,Luisa
58,59,2004-01-24,Industrial,Venta,Tarragona,166,1373816,2004-11-19,Joaquín
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
66,67,2004-01-27,Industrial,Alquiler,Barcelona,219,948927,2004-10-15,Jesús
67,68,2004-01-27,Local,Alquiler,Barcelona,68,376992,2004-06-28,Luisa
69,70,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12,María
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
72,73,2004-01-28,Parking,Alquiler,Barcelona,62,320044,2004-09-04,Joaquín
74,75,2004-01-29,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
75,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
76,77,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25,Pedro
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
84,85,2004-02-02,Local,Alquiler,Barcelona,127,925322,2004-06-03,Joaquín
86,87,2004-02-03,Industrial,Alquiler,Barcelona,93,778875,2004-05-12,Luisa
87,88,2004-02-03,Parking,Alquiler,Tarragona,58,421196,2004-10-10,Pedro
88,89,2004-02-04,Local,Alquiler,Barcelona,49,219716,2004-09-27,Jesús
90,91,2004-02-04,Industrial,Alquiler,Barcelona,123,723609,2004-12-16,Joaquín
91,92,2004-02-05,Piso,Alquiler,Barcelona,48,388032,2004-05-06,Jesús
92,93,2004-02-05,Industrial,Alquiler,Tarragona,132,922020,2004-10-23,Joaquín
93,94,2004-02-06,Industrial,Alquiler,Barcelona,177,965358,2004-06-08,Luisa
94,95,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
95,96,2004-02-07,Industrial,Alquiler,Tarragona,103,728931,2005-02-05,Jesús
96,97,2004-02-07,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
99,100,2004-02-08,Local,Alquiler,Tarragona,125,531375,2004-06-23,Jesús
101,102,2004-02-08,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
107,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
110,111,2004-02-13,Suelo,Alquiler,Tarragona,162,954666,2004-11-25,Joaquín
112,113,2004-02-13,Suelo,Alquiler,Barcelona,89,887241,2005-01-02,Luisa
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
119,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
123,124,2004-02-18,Suelo,Alquiler,Tarragona,212,926228,2004-09-05,Joaquín
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
132,133,2004-02-22,Suelo,Alquiler,Tarragona,62,391964,2004-11-14,Pedro
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
136,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
138,139,2004-02-26,Local,Alquiler,Tarragona,63,533925,2004-09-22,Joaquín
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
140,141,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
142,143,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28,María
143,144,2004-02-28,Parking,Alquiler,Barcelona,121,782870,2004-11-19,Pedro
146,147,2004-02-28,Parking,Alquiler,Barcelona,76,734388,2004-05-28,Joaquín
147,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30,María
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
159,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
171,172,2004-03-08,Piso,Alquiler,Tarragona,108,558252,2004-10-19,María
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
179,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
181,182,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25,Joaquín
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
186,187,2004-03-16,Local,Alquiler,Barcelona,95,919030,2004-12-10,María
190,191,2004-03-18,Suelo,Alquiler,Tarragona,71,431325,2004-07-23,Carmen
192,193,2004-03-18,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
203,204,2004-03-23,Local,Alquiler,Barcelona,106,692180,2004-11-09,Luisa
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
211,212,2004-03-25,Casa,Alquiler,Barcelona,63,492156,2004-10-25,Carmen
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
217,218,2004-03-29,Suelo,Alquiler,Tarragona,65,461435,2004-12-31,Carmen
220,221,2004-03-30,Casa,Alquiler,Barcelona,56,474600,2004-08-27,Pedro
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
224,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
225,226,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29,Joaquín
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
229,230,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01,Pedro
230,231,2004-04-03,Local,Alquiler,Barcelona,143,665951,2005-02-18,Pedro
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
237,238,2004-04-05,Casa,Alquiler,Barcelona,170,995520,2005-02-01,Jesús
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
241,242,2004-04-07,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
246,247,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09,Jesús
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
252,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08,María
254,255,2004-04-10,Local,Alquiler,Barcelona,49,424536,2005-03-04,Pedro
257,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13,María
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
259,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
261,262,2004-04-12,Casa,Alquiler,Barcelona,181,1449629,2004-09-14,Luisa
262,263,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06,María
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
264,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
265,266,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16,Jesús
269,270,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31,Joaquín
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
279,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
282,283,2004-04-18,Oficina,Alquiler,Tarragona,137,1336298,2004-11-27,Pedro
284,285,2004-04-19,Industrial,Alquiler,Tarragona,143,712712,2005-01-10,Jesús
285,286,2004-04-19,Industrial,Venta,Barcelona,65,523770,2005-01-24,Jesús
286,287,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22,Jesús
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
291,292,2004-04-21,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
295,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
297,298,2004-04-23,Industrial,Venta,Barcelona,106,600596,2004-11-23,Luisa
299,300,2004-04-23,Suelo,Alquiler,Tarragona,85,683230,2005-02-06,Carmen
300,301,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12,Carmen
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
312,313,2004-04-30,Local,Alquiler,Barcelona,91,391391,2005-02-13,Luisa
313,314,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21,Joaquín
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
318,319,2004-05-02,Piso,Venta,Tarragona,123,961368,2004-09-04,Luisa
321,322,2004-05-03,Suelo,Venta,Barcelona,42,255906,2004-11-09,María
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
323,324,2004-05-04,Suelo,Alquiler,Barcelona,155,876060,2004-12-31,Carmen
325,326,2004-05-04,Industrial,Alquiler,Barcelona,179,1227224,2004-10-08,Luisa
326,327,2004-05-04,Suelo,Venta,Tarragona,180,1022040,2005-03-28,Jesús
327,328,2004-05-04,Suelo,Venta,Barcelona,273,1369368,2005-04-17,Jesús
330,331,2004-05-05,Parking,Alquiler,Barcelona,205,990355,2004-12-08,Luisa
332,333,2004-05-06,Piso,Venta,Barcelona,110,803000,2004-08-25,Jesús
333,334,2004-05-07,Industrial,Alquiler,Tarragona,242,2110966,2005-01-22,Pedro
335,336,2004-05-07,Local,Alquiler,Tarragona,227,1394461,2005-01-28,María
337,338,2004-05-08,Oficina,Alquiler,Barcelona,41,361661,2005-01-28,Carmen
340,341,2004-05-10,Casa,Venta,Tarragona,229,1990697,2004-11-02,Pedro
342,343,2004-05-10,Parking,Venta,Barcelona,175,1178100,2004-11-12,Luisa
343,344,2004-05-10,Casa,Venta,Barcelona,146,1083466,2004-09-19,Jesús
344,345,2004-05-11,Industrial,Alquiler,Tarragona,131,1263495,2005-01-01,Jesús
345,346,2004-05-11,Local,Venta,Tarragona,202,1320676,2004-12-23,Pedro
346,347,2004-05-11,Industrial,Venta,Barcelona,173,851852,2004-09-18,Carmen
348,349,2004-05-12,Parking,Venta,Tarragona,234,1398852,2004-11-01,María
351,352,2004-05-14,Casa,Venta,Tarragona,241,2060550,2004-10-10,Luisa
352,353,2004-05-14,Piso,Alquiler,Tarragona,257,1980185,2004-08-14,Carmen
354,355,2004-05-14,Oficina,Alquiler,Tarragona,209,1181686,2004-10-15,Carmen
357,358,2004-05-15,Piso,Venta,Barcelona,131,1180048,2004-11-04,Joaquín
359,360,2004-05-16,Local,Venta,Barcelona,156,896220,2005-03-19,Luisa
364,365,2004-05-18,Local,Alquiler,Tarragona,137,673355,2004-10-16,María
368,369,2004-05-19,Casa,Alquiler,Barcelona,149,1238339,2004-12-27,Luisa
369,370,2004-05-19,Suelo,Alquiler,Tarragona,285,1377975,2004-09-14,Jesús
370,371,2004-05-20,Oficina,Venta,Barcelona,230,1109980,2004-12-08,Luisa
372,373,2004-05-21,Suelo,Alquiler,Barcelona,131,822811,2005-05-21,Pedro
373,374,2004-05-21,Piso,Alquiler,Tarragona,167,895287,2004-11-13,Jesús
374,375,2004-05-22,Local,Venta,Tarragona,230,1398630,2005-04-10,María
376,377,2004-05-24,Oficina,Alquiler,Barcelona,105,525210,2005-04-16,Pedro
383,384,2004-05-26,Parking,Venta,Barcelona,200,1823400,2004-10-20,Joaquín
384,385,2004-05-26,Parking,Venta,Barcelona,197,1746405,2005-03-20,Luisa
386,387,2004-05-27,Oficina,Venta,Barcelona,119,486472,2004-09-04,Joaquín
388,389,2004-05-29,Oficina,Alquiler,Tarragona,196,882784,2005-02-02,Luisa
389,390,2004-05-30,Parking,Alquiler,Tarragona,65,389350,2004-12-10,Luisa
391,392,2004-05-30,Piso,Alquiler,Barcelona,202,1560450,2005-02-06,Jesús
393,394,2004-05-31,Local,Alquiler,Barcelona,203,946792,2005-04-17,María
396,397,2004-06-01,Parking,Venta,Barcelona,177,933321,2005-05-10,Joaquín
398,399,2004-06-01,Industrial,Venta,Tarragona,65,483860,2005-01-24,Pedro
399,400,2004-06-01,Parking,Venta,Tarragona,208,1225120,2005-01-22,Carmen
400,401,2004-06-02,Piso,Alquiler,Barcelona,271,2682900,2005-06-02,Pedro
404,405,2004-06-03,Local,Venta,Tarragona,224,1804992,2005-01-20,Jesús
405,406,2004-06-03,Oficina,Venta,Barcelona,207,1883700,2005-02-23,Carmen
406,407,2004-06-03,Industrial,Venta,Barcelona,162,1383480,2004-12-16,María
407,408,2004-06-04,Industrial,Alquiler,Barcelona,74,729788,2005-01-22,Pedro
412,413,2004-06-05,Piso,Alquiler,Tarragona,189,1527498,2005-05-14,Luisa
414,415,2004-06-06,Parking,Venta,Barcelona,46,386584,2004-12-17,Carmen
416,417,2004-06-07,Suelo,Venta,Barcelona,254,1381506,2005-04-14,Luisa
420,421,2004-06-09,Suelo,Venta,Barcelona,135,1209735,2005-05-05,Pedro
421,422,2004-06-09,Piso,Alquiler,Barcelona,126,637308,2004-11-09,Jesús
422,423,2004-06-09,Local,Alquiler,Barcelona,260,1090180,2004-12-16,Luisa
423,424,2004-06-09,Parking,Venta,Barcelona,261,1945755,2004-11-06,Jesús
426,427,2004-06-10,Piso,Venta,Barcelona,81,583362,2005-05-04,Carmen
428,429,2004-06-11,Parking,Alquiler,Tarragona,271,2190493,2004-11-02,Jesús
429,430,2004-06-11,Oficina,Venta,Tarragona,249,1388175,2004-10-29,Luisa
430,431,2004-06-11,Suelo,Alquiler,Tarragona,153,1116441,2004-12-19,Jesús
432,433,2004-06-13,Suelo,Venta,Tarragona,144,852480,2005-06-04,Carmen
433,434,2004-06-13,Local,Alquiler,Tarragona,246,1898628,2004-12-15,Joaquín
435,436,2004-06-13,Suelo,Venta,Tarragona,105,783195,2004-11-20,Carmen
437,438,2004-06-14,Oficina,Venta,Barcelona,158,1543344,2004-12-26,Luisa
439,440,2004-06-15,Parking,Venta,Barcelona,115,1077665,2004-09-19,Jesús
440,441,2004-06-16,Parking,Venta,Barcelona,102,790602,2004-11-09,Carmen
441,442,2004-06-16,Parking,Venta,Tarragona,211,872063,2005-02-26,Pedro
443,444,2004-06-17,Parking,Venta,Barcelona,102,1005312,2005-06-09,Luisa
445,446,2004-06-17,Casa,Alquiler,Tarragona,57,419178,2005-03-18,Jesús
450,451,2004-06-18,Oficina,Venta,Barcelona,54,406998,2005-04-25,Joaquín
453,454,2004-06-19,Oficina,Alquiler,Barcelona,72,458568,2004-10-06,Luisa
454,455,2004-06-20,Parking,Alquiler,Barcelona,244,2439512,2005-01-02,Carmen
457,458,2004-06-20,Piso,Alquiler,Barcelona,71,587880,2004-10-03,Jesús
459,460,2004-06-22,Oficina,Alquiler,Barcelona,77,322322,2005-03-12,Joaquín
465,466,2004-06-24,Local,Alquiler,Tarragona,44,242704,2004-10-03,Joaquín
467,468,2004-06-24,Local,Venta,Tarragona,215,870105,2005-04-02,Jesús
468,469,2004-06-24,Casa,Alquiler,Barcelona,65,546780,2004-12-13,Pedro
469,470,2004-06-25,Parking,Venta,Tarragona,191,875544,2004-11-01,Jesús
471,472,2004-06-25,Suelo,Venta,Tarragona,297,1820016,2005-01-08,María
474,475,2004-06-25,Suelo,Alquiler,Tarragona,136,568480,2004-12-03,Pedro
480,481,2004-06-29,Oficina,Alquiler,Barcelona,257,1166780,2005-01-10,Jesús
481,482,2004-06-29,Industrial,Venta,Tarragona,243,1983123,2005-06-16,María
484,485,2004-06-30,Piso,Alquiler,Tarragona,122,1093608,2005-02-27,Luisa
488,489,2004-07-01,Casa,Venta,Tarragona,60,253920,2005-01-30,Luisa
489,490,2004-07-02,Parking,Alquiler,Barcelona,234,1911312,2005-04-08,Luisa
493,494,2004-07-03,Piso,Venta,Barcelona,274,1729762,2005-07-03,Luisa
494,495,2004-07-03,Oficina,Venta,Barcelona,268,2578696,2005-06-28,Luisa
497,498,2004-07-03,Suelo,Alquiler,Tarragona,110,1004740,2005-07-03,Luisa
498,499,2004-07-04,Casa,Venta,Barcelona,61,531432,2005-05-22,Joaquín
502,503,2004-07-05,Piso,Venta,Barcelona,72,647352,2005-06-07,María
504,505,2004-07-05,Industrial,Venta,Tarragona,172,860172,2005-05-16,Luisa
505,506,2004-07-05,Industrial,Alquiler,Tarragona,235,1207195,2004-10-14,Luisa
506,507,2004-07-05,Industrial,Alquiler,Tarragona,159,1032546,2004-11-07,Carmen
507,508,2004-07-05,Local,Venta,Barcelona,271,2297538,2004-11-22,Jesús
508,509,2004-07-06,Parking,Venta,Tarragona,80,428240,2005-02-01,Pedro
509,510,2004-07-06,Industrial,Alquiler,Barcelona,227,1175860,2005-07-05,Joaquín
511,512,2004-07-06,Parking,Alquiler,Tarragona,239,1782940,2004-11-13,Joaquín
512,513,2004-07-06,Casa,Alquiler,Barcelona,191,1841622,2005-01-21,Jesús
513,514,2004-07-07,Casa,Venta,Tarragona,76,741228,2004-12-28,Luisa
514,515,2004-07-08,Oficina,Alquiler,Barcelona,47,262777,2004-12-22,Carmen
515,516,2004-07-08,Oficina,Alquiler,Barcelona,119,720902,2005-06-23,Carmen
518,519,2004-07-09,Piso,Alquiler,Barcelona,123,682773,2005-01-30,Luisa
520,521,2004-07-09,Parking,Venta,Barcelona,105,740355,2004-12-08,Luisa
523,524,2004-07-10,Piso,Alquiler,Barcelona,159,1536576,2005-06-24,Pedro
526,527,2004-07-11,Industrial,Alquiler,Barcelona,231,935781,2004-11-13,Joaquín
530,531,2004-07-12,Industrial,Alquiler,Barcelona,112,712768,2005-06-14,Carmen
532,533,2004-07-13,Parking,Venta,Tarragona,72,606024,2005-04-12,Carmen
538,539,2004-07-16,Parking,Alquiler,Barcelona,111,761793,2005-07-11,María
539,540,2004-07-16,Parking,Alquiler,Tarragona,87,565587,2005-01-25,Joaquín
541,542,2004-07-16,Oficina,Venta,Barcelona,182,1514968,2004-10-24,María
542,543,2004-07-16,Industrial,Venta,Tarragona,101,564186,2005-01-21,Pedro
543,544,2004-07-17,Oficina,Venta,Tarragona,79,694331,2005-03-10,Carmen
547,548,2004-07-20,Parking,Venta,Barcelona,286,2330042,2004-10-21,Carmen
551,552,2004-07-21,Local,Venta,Barcelona,125,804625,2005-06-26,Carmen
552,553,2004-07-21,Oficina,Venta,Barcelona,209,1568754,2004-12-15,Pedro
553,554,2004-07-21,Parking,Venta,Barcelona,141,867009,2004-11-21,Joaquín
558,559,2004-07-24,Local,Alquiler,Tarragona,188,1590104,2004-10-26,Pedro
559,560,2004-07-25,Industrial,Alquiler,Tarragona,285,1412175,2004-12-01,Pedro
562,563,2004-07-25,Piso,Venta,Barcelona,237,1272216,2005-04-27,Jesús
564,565,2004-07-25,Suelo,Venta,Barcelona,147,917868,2004-11-15,Joaquín
566,567,2004-07-26,Local,Venta,Barcelona,98,469910,2005-01-08,Joaquín
568,569,2004-07-26,Local,Alquiler,Tarragona,167,700398,2005-03-07,Luisa
570,571,2004-07-27,Industrial,Alquiler,Tarragona,44,322036,2004-12-20,Jesús
571,572,2004-07-28,Local,Alquiler,Tarragona,235,1897155,2005-07-01,Carmen
572,573,2004-07-28,Parking,Venta,Tarragona,243,1038825,2004-12-14,Jesús
574,575,2004-07-28,Parking,Alquiler,Barcelona,280,1877400,2005-04-21,Joaquín
575,576,2004-07-29,Casa,Venta,Barcelona,54,435348,2005-02-20,Pedro
576,577,2004-07-29,Oficina,Venta,Barcelona,154,889658,2005-06-22,Joaquín
579,580,2004-07-30,Parking,Venta,Tarragona,226,1634884,2005-07-20,María
580,581,2004-07-30,Casa,Venta,Tarragona,230,1742020,2004-11-16,Jesús
582,583,2004-07-31,Local,Venta,Tarragona,297,1767744,2005-03-23,Pedro
586,587,2004-08-02,Piso,Alquiler,Barcelona,184,1286344,2005-07-02,Joaquín
587,588,2004-08-02,Local,Alquiler,Tarragona,56,469168,2005-03-08,Pedro
588,589,2004-08-02,Oficina,Venta,Tarragona,138,1372686,2005-06-17,Carmen
589,590,2004-08-03,Suelo,Venta,Tarragona,95,627570,2005-03-16,Carmen
592,593,2004-08-04,Suelo,Venta,Tarragona,213,1234974,2005-06-23,Carmen
593,594,2004-08-04,Industrial,Alquiler,Tarragona,171,1148436,2005-06-29,Pedro
594,595,2004-08-04,Industrial,Venta,Barcelona,262,1343798,2005-04-15,Jesús
599,600,2004-08-08,Oficina,Alquiler,Barcelona,289,1275646,2005-01-29,Pedro
602,603,2004-08-09,Casa,Alquiler,Barcelona,174,1408182,2005-05-23,Jesús
606,607,2004-08-10,Parking,Venta,Barcelona,49,418019,2005-02-22,Pedro
609,610,2004-08-11,Local,Venta,Barcelona,127,1058545,2005-01-23,Joaquín
610,611,2004-08-11,Casa,Venta,Barcelona,294,2658936,2005-06-21,Luisa
612,613,2004-08-11,Industrial,Venta,Barcelona,225,1879200,2004-11-19,Pedro
613,614,2004-08-12,Casa,Alquiler,Barcelona,241,1085705,2005-01-28,Pedro
615,616,2004-08-12,Piso,Alquiler,Barcelona,231,1237929,2005-04-13,Luisa
618,619,2004-08-13,Suelo,Alquiler,Barcelona,93,705963,2005-03-30,Pedro
619,620,2004-08-14,Suelo,Alquiler,Barcelona,58,406290,2005-07-04,Carmen
620,621,2004-08-14,Industrial,Venta,Tarragona,223,2171128,2005-03-23,Carmen
621,622,2004-08-14,Piso,Venta,Barcelona,123,1116348,2005-06-29,Luisa
622,623,2004-08-15,Local,Venta,Tarragona,72,577656,2005-07-30,María
623,624,2004-08-15,Industrial,Venta,Tarragona,154,1122352,2005-05-11,Jesús
625,626,2004-08-16,Piso,Alquiler,Tarragona,263,2061131,2005-07-28,Joaquín
627,628,2004-08-16,Casa,Alquiler,Tarragona,212,1360828,2005-04-24,Jesús
630,631,2004-08-17,Parking,Alquiler,Barcelona,272,1972816,2005-08-14,Carmen
633,634,2004-08-18,Piso,Alquiler,Tarragona,283,2576432,2005-05-13,María
635,636,2004-08-18,Piso,Alquiler,Tarragona,181,1161477,2005-05-07,María
636,637,2004-08-18,Parking,Alquiler,Barcelona,95,938030,2005-06-03,María
