,Referencia,Fecha Alta,Tipo,Operación,Provincia,Superficie,Precio Venta,Fecha Venta,Vendedor
59,60,2004-01-24,Oficina,Alquiler,Lleida,270,1920240,2004-06-28,Jesús
60,61,2004-01-24,Casa,Venta,Tarragona,120,1140840,2004-09-12,Carmen
61,62,2004-01-24,Industrial,Venta,Tarragona,178,1142938,2005-01-23,Joaquín
62,63,2004-01-25,Piso,Venta,Barcelona,144,738144,2004-09-06,Luisa
63,64,2004-01-26,Industrial,Venta,Lleida,57,509010,2004-10-13,María
64,65,2004-01-26,Oficina,Venta,Tarragona,144,1436832,2004-05-26,Luisa
65,66,2004-01-27,Suelo,Venta,Lleida,272,2119424,2004-12-24,Pedro
66,67,2004-01-27,Industrial,Alquiler,Barcelona,219,948927,2004-10-15,Jesús
67,68,2004-01-27,Local,Alquiler,Barcelona,68,376992,2004-06-28,Luisa
68,69,2004-01-27,Local,Venta,Girona,248,2212408,2004-10-09,María
69,70,2004-01-28,Casa,Alquiler,Tarragona,179,1647695,2004-07-12,María
70,71,2004-01-28,Casa,Venta,Girona,235,1939925,2004-11-01,Carmen
71,72,2004-01-28,Suelo,Venta,Tarragona,216,1478952,2004-10-15,Carmen
72,73,2004-01-28,Parking,Alquiler,Barcelona,62,320044,2004-09-04,Joaquín
73,74,2004-01-29,Industrial,Venta,Girona,229,1098055,2004-10-22,Joaquín
74,75,2004-01-29,Suelo,Venta,Tarragona,41,187862,2004-08-14,Jesús
75,76,2004-01-29,Suelo,Alquiler,Tarragona,234,1757106,2004-12-28,Pedro
76,77,2004-01-30,Industrial,Alquiler,Tarragona,112,1104992,2004-06-25,Pedro
77,78,2004-01-31,Piso,Venta,Lleida,87,448485,2004-10-04,María
78,79,2004-01-31,Parking,Venta,Barcelona,298,2520484,2004-11-27,Carmen
79,80,2004-01-31,Parking,Alquiler,Barcelona,217,1339107,2004-10-05,Carmen
80,81,2004-02-01,Industrial,Alquiler,Barcelona,236,1812244,2004-11-17,Pedro
81,82,2004-02-02,Parking,Venta,Girona,117,1069731,2004-09-14,Pedro
82,83,2004-02-02,Suelo,Venta,Lleida,56,471072,2004-05-29,María
83,84,2004-02-02,Piso,Venta,Barcelona,94,470940,2004-07-28,Carmen
84,85,2004-02-02,Local,Alquiler,Barcelona,127,925322,2004-06-03,Joaquín
85,86,2004-02-03,Piso,Venta,Girona,275,2141700,2005-01-08,Jesús
86,87,2004-02-03,Industrial,Alquiler,Barcelona,93,778875,2004-05-12,Luisa
87,88,2004-02-03,Parking,Alquiler,Tarragona,58,421196,2004-10-10,Pedro
88,89,2004-02-04,Local,Alquiler,Barcelona,49,219716,2004-09-27,Jesús
89,90,2004-02-04,Suelo,Venta,Girona,292,2685816,2004-07-24,Pedro
90,91,2004-02-04,Industrial,Alquiler,Barcelona,123,723609,2004-12-16,Joaquín
91,92,2004-02-05,Piso,Alquiler,Barcelona,48,388032,2004-05-06,Jesús
92,93,2004-02-05,Industrial,Alquiler,Tarragona,132,922020,2004-10-23,Joaquín
93,94,2004-02-06,Industrial,Alquiler,Barcelona,177,965358,2004-06-08,Luisa
94,95,2004-02-06,Local,Venta,Barcelona,68,663816,2004-05-23,Joaquín
95,96,2004-02-07,Industrial,Alquiler,Tarragona,103,728931,2005-02-05,Jesús
96,97,2004-02-07,Suelo,Venta,Tarragona,96,625536,2004-11-07,Jesús
97,98,2004-02-07,Casa,Venta,Lleida,227,1467782,2005-02-01,Carmen
98,99,2004-02-07,Industrial,Alquiler,Girona,251,2067236,2004-12-22,María
99,100,2004-02-08,Local,Alquiler,Tarragona,125,531375,2004-06-23,Jesús
100,101,2004-02-08,Suelo,Alquiler,Girona,162,710694,2004-09-27,María
101,102,2004-02-08,Local,Venta,Barcelona,45,438435,2004-05-23,Luisa
102,103,2004-02-08,Casa,Alquiler,Girona,258,1188090,2004-07-19,María
103,104,2004-02-09,Oficina,Venta,Tarragona,104,699400,2004-07-14,Luisa
104,105,2004-02-10,Piso,Alquiler,Girona,238,1854496,2005-02-02,Luisa
105,106,2004-02-10,Piso,Alquiler,Lleida,300,2105700,2005-01-26,Pedro
106,107,2004-02-10,Suelo,Alquiler,Girona,222,1791318,2004-12-13,Jesús
107,108,2004-02-12,Suelo,Alquiler,Tarragona,187,1782297,2004-12-20,Joaquín
108,109,2004-02-12,Suelo,Alquiler,Barcelona,300,1528200,2004-08-09,Pedro
109,110,2004-02-12,Parking,Venta,Barcelona,206,1587642,2004-12-20,Luisa
110,111,2004-02-13,Suelo,Alquiler,Tarragona,162,954666,2004-11-25,Joaquín
111,112,2004-02-13,Local,Alquiler,Lleida,160,1064800,2004-09-22,Pedro
112,113,2004-02-13,Suelo,Alquiler,Barcelona,89,887241,2005-01-02,Luisa
113,114,2004-02-14,Suelo,Venta,Girona,103,806799,2005-01-11,Joaquín
114,115,2004-02-14,Industrial,Venta,Tarragona,54,438750,2004-08-15,Carmen
115,116,2004-02-15,Parking,Venta,Girona,103,973659,2005-01-04,Jesús
116,117,2004-02-15,Oficina,Venta,Girona,274,1724008,2004-09-26,Joaquín
117,118,2004-02-15,Oficina,Venta,Girona,253,2047276,2004-09-10,Luisa
118,119,2004-02-16,Parking,Venta,Lleida,51,307989,2004-07-06,Pedro
119,120,2004-02-16,Piso,Venta,Tarragona,174,973878,2004-12-13,Jesús
120,121,2004-02-17,Parking,Venta,Barcelona,152,688864,2004-12-06,Jesús
121,122,2004-02-17,Casa,Alquiler,Barcelona,270,1385910,2005-02-05,Pedro
122,123,2004-02-17,Local,Alquiler,Girona,179,1461356,2004-07-30,Pedro
123,124,2004-02-18,Suelo,Alquiler,Tarragona,212,926228,2004-09-05,Joaquín
124,125,2004-02-19,Industrial,Venta,Girona,118,1067192,2004-08-25,Carmen
125,126,2004-02-19,Industrial,Venta,Tarragona,194,1373132,2004-08-31,María
126,127,2004-02-20,Industrial,Venta,Barcelona,139,1087119,2004-05-29,Jesús
127,128,2004-02-20,Casa,Venta,Tarragona,130,1230190,2005-01-04,Luisa
128,129,2004-02-21,Parking,Alquiler,Lleida,206,1363926,2005-01-08,Carmen
129,130,2004-02-21,Oficina,Venta,Tarragona,216,1389096,2004-11-23,Luisa
130,131,2004-02-21,Local,Venta,Lleida,55,477345,2004-09-04,Carmen
131,132,2004-02-21,Oficina,Venta,Tarragona,190,1268630,2004-12-04,Jesús
132,133,2004-02-22,Suelo,Alquiler,Tarragona,62,391964,2004-11-14,Pedro
133,134,2004-02-22,Oficina,Alquiler,Tarragona,275,1765225,2005-02-20,Joaquín
134,135,2004-02-22,Local,Venta,Lleida,45,229455,2004-10-05,Jesús
135,136,2004-02-23,Oficina,Alquiler,Lleida,105,624435,2004-06-24,Joaquín
136,137,2004-02-23,Casa,Venta,Barcelona,119,686154,2005-01-19,Pedro
137,138,2004-02-24,Industrial,Venta,Girona,88,678480,2004-12-28,Luisa
138,139,2004-02-26,Local,Alquiler,Tarragona,63,533925,2004-09-22,Joaquín
139,140,2004-02-26,Piso,Venta,Barcelona,222,1076034,2004-06-02,María
140,141,2004-02-27,Suelo,Venta,Barcelona,47,455477,2004-12-31,Joaquín
141,142,2004-02-27,Oficina,Venta,Tarragona,123,1128156,2004-09-23,Pedro
142,143,2004-02-27,Oficina,Alquiler,Tarragona,134,1310520,2004-12-28,María
143,144,2004-02-28,Parking,Alquiler,Barcelona,121,782870,2004-11-19,Pedro
144,145,2004-02-28,Piso,Venta,Girona,50,315550,2004-10-14,Pedro
145,146,2004-02-28,Parking,Venta,Girona,274,2028970,2004-08-20,Luisa
146,147,2004-02-28,Parking,Alquiler,Barcelona,76,734388,2004-05-28,Joaquín
147,148,2004-02-28,Local,Venta,Barcelona,109,779241,2004-05-30,María
148,149,2004-02-29,Piso,Venta,Lleida,249,1492506,2005-02-12,Luisa
149,150,2004-03-01,Casa,Alquiler,Lleida,212,1800516,2004-12-19,Jesús
150,151,2004-03-01,Oficina,Alquiler,Lleida,128,1259904,2004-10-02,Luisa
151,152,2004-03-02,Oficina,Venta,Tarragona,172,1063648,2005-02-13,María
152,153,2004-03-02,Piso,Venta,Lleida,68,434656,2004-07-13,María
153,154,2004-03-02,Industrial,Alquiler,Lleida,52,508924,2004-09-03,Pedro
154,155,2004-03-03,Suelo,Alquiler,Girona,185,1403595,2004-10-02,Pedro
155,156,2004-03-03,Casa,Venta,Girona,284,1561432,2004-07-01,Pedro
156,157,2004-03-03,Oficina,Venta,Tarragona,202,1891932,2004-10-02,María
157,158,2004-03-03,Casa,Alquiler,Lleida,100,731700,2004-10-10,Luisa
158,159,2004-03-04,Local,Venta,Lleida,106,563178,2004-08-01,Pedro
159,160,2004-03-04,Casa,Venta,Tarragona,211,875228,2004-07-23,María
160,161,2004-03-04,Suelo,Venta,Tarragona,165,1305480,2004-07-29,Jesús
161,162,2004-03-05,Piso,Alquiler,Lleida,251,1361675,2004-08-16,Jesús
162,163,2004-03-05,Local,Venta,Tarragona,266,1161090,2004-11-23,Carmen
163,164,2004-03-05,Oficina,Alquiler,Girona,287,1395681,2004-09-13,Carmen
164,165,2004-03-05,Industrial,Venta,Tarragona,104,1001104,2004-10-11,Luisa
165,166,2004-03-06,Oficina,Venta,Tarragona,250,2275500,2004-07-29,Luisa
166,167,2004-03-06,Parking,Venta,Girona,169,1370759,2005-01-14,Luisa
167,168,2004-03-06,Suelo,Venta,Lleida,221,1842035,2004-10-15,Joaquín
168,169,2004-03-07,Industrial,Alquiler,Barcelona,286,2080078,2004-07-14,Jesús
169,170,2004-03-08,Suelo,Alquiler,Lleida,73,597286,2005-02-20,Joaquín
170,171,2004-03-08,Suelo,Venta,Girona,144,1358640,2004-11-13,Joaquín
171,172,2004-03-08,Piso,Alquiler,Tarragona,108,558252,2004-10-19,María
172,173,2004-03-09,Oficina,Venta,Girona,268,2400476,2005-03-08,Joaquín
173,174,2004-03-09,Piso,Alquiler,Lleida,143,1131416,2004-08-25,Joaquín
174,175,2004-03-10,Local,Venta,Barcelona,52,416936,2004-08-25,Carmen
175,176,2004-03-10,Industrial,Alquiler,Lleida,193,1658835,2004-08-30,Jesús
176,177,2004-03-11,Suelo,Venta,Tarragona,148,1431012,2004-09-01,Jesús
177,178,2004-03-11,Local,Venta,Tarragona,118,513300,2004-10-26,María
178,179,2004-03-12,Industrial,Venta,Barcelona,156,848328,2005-02-27,Jesús
179,180,2004-03-12,Suelo,Alquiler,Tarragona,201,1874928,2004-06-21,Jesús
180,181,2004-03-12,Oficina,Venta,Tarragona,42,367584,2004-08-11,Joaquín
181,182,2004-03-13,Local,Alquiler,Tarragona,162,1323054,2004-08-25,Joaquín
182,183,2004-03-14,Local,Alquiler,Girona,231,1446522,2004-09-02,Carmen
183,184,2004-03-14,Suelo,Venta,Tarragona,273,1447992,2004-10-24,Pedro
184,185,2004-03-15,Industrial,Venta,Barcelona,265,2109930,2004-08-27,María
185,186,2004-03-16,Casa,Alquiler,Girona,87,779868,2004-10-23,Jesús
186,187,2004-03-16,Local,Alquiler,Barcelona,95,919030,2004-12-10,María
187,188,2004-03-16,Casa,Venta,Lleida,63,537264,2005-02-08,Carmen
188,189,2004-03-17,Parking,Venta,Girona,160,1261600,2004-10-25,Jesús
189,190,2004-03-17,Parking,Alquiler,Lleida,95,448210,2004-10-25,Pedro
190,191,2004-03-18,Suelo,Alquiler,Tarragona,71,431325,2004-07-23,Carmen
191,192,2004-03-18,Local,Venta,Girona,56,553616,2005-03-09,Pedro
192,193,2004-03-18,Suelo,Venta,Tarragona,59,453651,2004-10-07,María
193,194,2004-03-19,Local,Alquiler,Girona,117,986895,2004-09-14,Pedro
194,195,2004-03-19,Piso,Venta,Girona,62,250852,2004-07-21,Carmen
195,196,2004-03-20,Piso,Alquiler,Barcelona,281,1336717,2004-11-10,Carmen
196,197,2004-03-20,Piso,Venta,Tarragona,87,519738,2005-01-13,Carmen
197,198,2004-03-21,Oficina,Alquiler,Girona,174,720882,2004-08-14,Pedro
198,199,2004-03-21,Oficina,Venta,Lleida,177,842343,2005-03-10,María
199,200,2004-03-22,Parking,Venta,Tarragona,281,2108343,2004-09-26,Pedro
200,201,2004-03-22,Parking,Venta,Girona,247,1050985,2004-11-09,Pedro
201,202,2004-03-22,Piso,Alquiler,Girona,52,298272,2004-08-13,María
202,203,2004-03-22,Local,Alquiler,Girona,169,902798,2004-07-16,Luisa
203,204,2004-03-23,Local,Alquiler,Barcelona,106,692180,2004-11-09,Luisa
204,205,2004-03-23,Local,Venta,Girona,274,2002392,2004-12-04,Luisa
205,206,2004-03-23,Piso,Alquiler,Lleida,250,2253500,2005-02-21,Joaquín
206,207,2004-03-23,Piso,Alquiler,Lleida,134,1338124,2004-08-19,Luisa
207,208,2004-03-23,Casa,Venta,Lleida,156,1369680,2004-09-27,Pedro
208,209,2004-03-24,Parking,Venta,Lleida,167,1643948,2004-09-21,María
209,210,2004-03-24,Oficina,Alquiler,Lleida,206,1297594,2005-03-03,Carmen
210,211,2004-03-25,Parking,Alquiler,Barcelona,269,2134246,2004-08-11,Carmen
211,212,2004-03-25,Casa,Alquiler,Barcelona,63,492156,2004-10-25,Carmen
212,213,2004-03-26,Suelo,Alquiler,Lleida,223,1932518,2005-01-19,Pedro
213,214,2004-03-26,Industrial,Venta,Girona,163,1385011,2004-08-26,Carmen
214,215,2004-03-27,Parking,Alquiler,Girona,214,1219158,2004-07-13,Pedro
215,216,2004-03-27,Industrial,Venta,Tarragona,263,1494892,2005-02-02,María
216,217,2004-03-28,Industrial,Alquiler,Lleida,216,1398600,2004-11-03,Luisa
217,218,2004-03-29,Suelo,Alquiler,Tarragona,65,461435,2004-12-31,Carmen
218,219,2004-03-29,Industrial,Alquiler,Girona,46,351256,2005-03-28,Luisa
219,220,2004-03-30,Industrial,Alquiler,Lleida,209,1042283,2004-09-17,Jesús
220,221,2004-03-30,Casa,Alquiler,Barcelona,56,474600,2004-08-27,Pedro
221,222,2004-03-30,Local,Alquiler,Girona,82,420660,2004-10-02,María
222,223,2004-03-31,Suelo,Alquiler,Girona,62,489924,2004-09-09,Luisa
223,224,2004-03-31,Oficina,Venta,Tarragona,192,1032000,2004-08-21,Luisa
224,225,2004-04-01,Parking,Alquiler,Barcelona,152,1069320,2004-12-15,Jesús
225,226,2004-04-01,Local,Alquiler,Tarragona,182,1133132,2004-08-29,Joaquín
226,227,2004-04-01,Casa,Venta,Lleida,179,1670965,2004-09-09,Luisa
227,228,2004-04-01,Local,Venta,Girona,211,2010619,2004-11-12,Jesús
228,229,2004-04-01,Oficina,Venta,Tarragona,117,739206,2005-01-25,Carmen
229,230,2004-04-02,Oficina,Alquiler,Tarragona,186,1382166,2005-03-01,Pedro
230,231,2004-04-03,Local,Alquiler,Barcelona,143,665951,2005-02-18,Pedro
231,232,2004-04-03,Oficina,Venta,Tarragona,212,1479548,2004-11-03,María
232,233,2004-04-03,Local,Alquiler,Girona,246,1362348,2004-10-05,Joaquín
233,234,2004-04-03,Suelo,Venta,Girona,230,1722700,2005-03-26,Carmen
234,235,2004-04-03,Suelo,Venta,Lleida,126,848358,2004-11-02,Pedro
235,236,2004-04-03,Industrial,Venta,Girona,226,2104286,2004-08-26,Carmen
236,237,2004-04-05,Piso,Venta,Tarragona,262,1748850,2004-10-07,Pedro
237,238,2004-04-05,Casa,Alquiler,Barcelona,170,995520,2005-02-01,Jesús
238,239,2004-04-05,Piso,Alquiler,Lleida,268,2338032,2005-01-02,Pedro
239,240,2004-04-06,Parking,Venta,Barcelona,164,1298716,2004-12-03,Luisa
240,241,2004-04-06,Local,Venta,Lleida,260,2038660,2004-07-26,Carmen
241,242,2004-04-07,Suelo,Venta,Barcelona,69,656535,2004-08-16,Jesús
242,243,2004-04-07,Local,Venta,Lleida,298,1870546,2005-03-31,Luisa
243,244,2004-04-07,Local,Alquiler,Tarragona,284,1431076,2004-12-22,María
244,245,2004-04-08,Casa,Venta,Barcelona,239,1176597,2004-07-07,Joaquín
245,246,2004-04-09,Local,Venta,Girona,287,1936102,2005-04-08,Jesús
246,247,2004-04-09,Industrial,Alquiler,Barcelona,159,1582527,2004-12-09,Jesús
247,248,2004-04-09,Suelo,Alquiler,Girona,136,873120,2004-12-26,Pedro
248,249,2004-04-09,Industrial,Venta,Tarragona,223,2026401,2004-12-13,Joaquín
249,250,2004-04-09,Piso,Alquiler,Lleida,175,747075,2005-02-01,Pedro
250,251,2004-04-09,Suelo,Venta,Lleida,124,1130632,2005-01-22,Pedro
251,252,2004-04-09,Parking,Alquiler,Lleida,168,1622040,2004-10-15,María
252,253,2004-04-10,Parking,Venta,Tarragona,106,567206,2004-08-08,María
253,254,2004-04-10,Piso,Venta,Girona,67,379689,2004-10-29,Pedro
254,255,2004-04-10,Local,Alquiler,Barcelona,49,424536,2005-03-04,Pedro
255,256,2004-04-10,Industrial,Venta,Girona,238,1620304,2004-10-05,Carmen
256,257,2004-04-11,Suelo,Alquiler,Lleida,261,1220697,2005-02-09,Carmen
257,258,2004-04-11,Suelo,Alquiler,Barcelona,242,1099648,2005-02-13,María
258,259,2004-04-11,Parking,Venta,Tarragona,138,1183212,2005-02-26,Luisa
259,260,2004-04-12,Piso,Alquiler,Tarragona,258,1750014,2004-12-09,Luisa
260,261,2004-04-12,Casa,Alquiler,Lleida,201,1107108,2005-04-07,Joaquín
261,262,2004-04-12,Casa,Alquiler,Barcelona,181,1449629,2004-09-14,Luisa
262,263,2004-04-13,Oficina,Alquiler,Barcelona,244,1006988,2004-08-06,María
263,264,2004-04-14,Parking,Alquiler,Tarragona,258,1770912,2005-03-02,Jesús
264,265,2004-04-14,Parking,Venta,Barcelona,105,927255,2004-11-21,Luisa
265,266,2004-04-14,Parking,Alquiler,Tarragona,216,1125792,2004-09-16,Jesús
266,267,2004-04-14,Casa,Venta,Girona,204,1291116,2004-09-27,Carmen
267,268,2004-04-15,Industrial,Alquiler,Girona,150,968250,2005-02-15,María
268,269,2004-04-15,Parking,Venta,Lleida,52,446888,2004-09-01,María
269,270,2004-04-15,Parking,Alquiler,Tarragona,223,1342906,2004-10-31,Joaquín
270,271,2004-04-15,Local,Alquiler,Lleida,237,1093281,2005-01-02,Jesús
271,272,2004-04-15,Suelo,Venta,Lleida,270,2409210,2004-09-03,Carmen
272,273,2004-04-15,Piso,Alquiler,Lleida,120,722880,2005-02-14,Joaquín
273,274,2004-04-15,Piso,Alquiler,Lleida,113,1102880,2005-03-17,Jesús
274,275,2004-04-16,Local,Alquiler,Girona,193,1079449,2004-11-20,Pedro
275,276,2004-04-17,Oficina,Alquiler,Girona,110,1039500,2004-11-17,Pedro
276,277,2004-04-17,Parking,Venta,Barcelona,209,2038586,2005-01-06,Jesús
277,278,2004-04-17,Suelo,Alquiler,Girona,125,853750,2004-08-25,Carmen
278,279,2004-04-18,Suelo,Venta,Girona,244,1414956,2005-02-26,María
279,280,2004-04-18,Oficina,Venta,Barcelona,154,881804,2004-08-25,Pedro
280,281,2004-04-18,Oficina,Venta,Girona,258,1081278,2005-04-13,Carmen
281,282,2004-04-18,Casa,Venta,Girona,285,2534505,2004-12-28,Jesús
282,283,2004-04-18,Oficina,Alquiler,Tarragona,137,1336298,2004-11-27,Pedro
283,284,2004-04-19,Suelo,Alquiler,Girona,262,2404898,2004-10-20,Luisa
284,285,2004-04-19,Industrial,Alquiler,Tarragona,143,712712,2005-01-10,Jesús
285,286,2004-04-19,Industrial,Venta,Barcelona,65,523770,2005-01-24,Jesús
286,287,2004-04-19,Industrial,Alquiler,Barcelona,225,1360800,2004-07-22,Jesús
287,288,2004-04-19,Casa,Alquiler,Lleida,177,924294,2005-01-19,Luisa
288,289,2004-04-20,Suelo,Venta,Lleida,163,895359,2005-02-17,Pedro
289,290,2004-04-20,Oficina,Alquiler,Girona,227,1437818,2005-03-27,Jesús
290,291,2004-04-21,Casa,Alquiler,Tarragona,295,1877675,2004-09-11,Pedro
291,292,2004-04-21,Parking,Venta,Barcelona,54,258444,2005-03-08,Pedro
292,293,2004-04-22,Parking,Venta,Girona,82,430418,2005-02-09,Luisa
293,294,2004-04-22,Oficina,Venta,Girona,86,589960,2005-03-18,Carmen
294,295,2004-04-22,Oficina,Venta,Girona,133,786695,2004-11-21,Luisa
295,296,2004-04-22,Parking,Alquiler,Barcelona,235,1773780,2005-03-28,Pedro
296,297,2004-04-23,Suelo,Alquiler,Girona,288,2699136,2004-07-28,Pedro
297,298,2004-04-23,Industrial,Venta,Barcelona,106,600596,2004-11-23,Luisa
298,299,2004-04-23,Industrial,Venta,Girona,45,307170,2005-04-16,Joaquín
299,300,2004-04-23,Suelo,Alquiler,Tarragona,85,683230,2005-02-06,Carmen
300,301,2004-04-24,Casa,Alquiler,Tarragona,178,1458176,2005-02-12,Carmen
301,302,2004-04-24,Industrial,Alquiler,Girona,211,1171894,2005-03-22,Pedro
302,303,2004-04-25,Oficina,Venta,Girona,209,1728221,2004-08-30,Carmen
303,304,2004-04-26,Casa,Alquiler,Barcelona,298,2612566,2005-02-16,Pedro
304,305,2004-04-27,Oficina,Venta,Girona,249,1150380,2004-11-18,Joaquín
305,306,2004-04-27,Piso,Venta,Lleida,142,1055912,2004-09-28,Jesús
306,307,2004-04-27,Industrial,Venta,Lleida,196,1645616,2005-04-14,Carmen
307,308,2004-04-28,Suelo,Alquiler,Barcelona,228,1521216,2005-03-16,Carmen
308,309,2004-04-28,Piso,Alquiler,Lleida,237,1763517,2004-09-06,Luisa
309,310,2004-04-28,Industrial,Venta,Lleida,121,792792,2004-09-23,Pedro
310,311,2004-04-28,Suelo,Venta,Lleida,61,605425,2004-12-29,Carmen
311,312,2004-04-29,Industrial,Venta,Girona,189,1579284,2005-01-07,Luisa
312,313,2004-04-30,Local,Alquiler,Barcelona,91,391391,2005-02-13,Luisa
313,314,2004-04-30,Suelo,Alquiler,Tarragona,230,1386900,2005-03-21,Joaquín
314,315,2004-05-01,Casa,Alquiler,Barcelona,251,2439971,2005-02-14,Joaquín
315,316,2004-05-02,Industrial,Alquiler,Barcelona,261,2571111,2005-02-07,Carmen
316,317,2004-05-02,Parking,Alquiler,Barcelona,251,1754992,2004-08-26,Jesús
317,318,2004-05-02,Suelo,Alquiler,Lleida,46,440772,2004-11-17,Jesús
318,319,2004-05-02,Piso,Venta,Tarragona,123,961368,2004-09-04,Luisa
319,320,2004-05-02,Industrial,Alquiler,Girona,277,2456159,2004-08-04,María
320,321,2004-05-03,Industrial,Alquiler,Girona,190,977740,2004-08-12,Pedro
321,322,2004-05-03,Suelo,Venta,Barcelona,42,255906,2004-11-09,María
322,323,2004-05-03,Parking,Venta,Barcelona,237,1592166,2004-10-15,María
323,324,2004-05-04,Suelo,Alquiler,Barcelona,155,876060,2004-12-31,Carmen
