,Tipo,Operación,Provincia
64,Oficina,Venta,Tarragona
65,Suelo,Venta,Lleida
66,Industrial,Alquiler,Barcelona
67,Local,Alquiler,Barcelona
68,Local,Venta,Girona
69,Casa,Alquiler,Tarragona
70,Casa,Venta,Girona
71,Suelo,Venta,Tarragona
72,Parking,Alquiler,Barcelona
73,Industrial,Venta,Girona
74,Suelo,Venta,Tarragona
75,Suelo,Alquiler,Tarragona
76,Industrial,Alquiler,Tarragona
77,Piso,Venta,Lleida
78,Parking,Venta,Barcelona
79,Parking,Alquiler,Barcelona
80,Industrial,Alquiler,Barcelona
81,Parking,Venta,Girona
82,Suelo,Venta,Lleida
83,Piso,Venta,Barcelona
84,Local,Alquiler,Barcelona
85,Piso,Venta,Girona
86,Industrial,Alquiler,Barcelona
87,Parking,Alquiler,Tarragona
88,Local,Alquiler,Barcelona
89,Suelo,Venta,Girona
90,Industrial,Alquiler,Barcelona
91,Piso,Alquiler,Barcelona
92,Industrial,Alquiler,Tarragona
93,Industrial,Alquiler,Barcelona
94,Local,Venta,Barcelona
95,Industrial,Alquiler,Tarragona
96,Suelo,Venta,Tarragona
97,Casa,Venta,Lleida
98,Industrial,Alquiler,Girona
99,Local,Alquiler,Tarragona
100,Suelo,Alquiler,Girona
101,Local,Venta,Barcelona
102,Casa,Alquiler,Girona
103,Oficina,Venta,Tarragona
104,Piso,Alquiler,Girona
105,Piso,Alquiler,Lleida
106,Suelo,Alquiler,Girona
107,Suelo,Alquiler,Tarragona
108,Suelo,Alquiler,Barcelona
109,Parking,Venta,Barcelona
110,Suelo,Alquiler,Tarragona
111,Local,Alquiler,Lleida
112,Suelo,Alquiler,Barcelona
113,Suelo,Venta,Girona
114,Industrial,Venta,Tarragona
115,Parking,Venta,Girona
116,Oficina,Venta,Girona
117,Oficina,Venta,Girona
118,Parking,Venta,Lleida
119,Piso,Venta,Tarragona
120,Parking,Venta,Barcelona
121,Casa,Alquiler,Barcelona
122,Local,Alquiler,Girona
123,Suelo,Alquiler,Tarragona
124,Industrial,Venta,Girona
125,Industrial,Venta,Tarragona
126,Industrial,Venta,Barcelona
127,Casa,Venta,Tarragona
128,Parking,Alquiler,Lleida
129,Oficina,Venta,Tarragona
130,Local,Venta,Lleida
131,Oficina,Venta,Tarragona
132,Suelo,Alquiler,Tarragona
133,Oficina,Alquiler,Tarragona
134,Local,Venta,Lleida
135,Oficina,Alquiler,Lleida
136,Casa,Venta,Barcelona
137,Industrial,Venta,Girona
138,Local,Alquiler,Tarragona
139,Piso,Venta,Barcelona
140,Suelo,Venta,Barcelona
141,Oficina,Venta,Tarragona
142,Oficina,Alquiler,Tarragona
143,Parking,Alquiler,Barcelona
144,Piso,Venta,Girona
145,Parking,Venta,Girona
146,Parking,Alquiler,Barcelona
147,Local,Venta,Barcelona
148,Piso,Venta,Lleida
149,Casa,Alquiler,Lleida
150,Oficina,Alquiler,Lleida
151,Oficina,Venta,Tarragona
152,Piso,Venta,Lleida
153,Industrial,Alquiler,Lleida
154,Suelo,Alquiler,Girona
155,Casa,Venta,Girona
156,Oficina,Venta,Tarragona
157,Casa,Alquiler,Lleida
158,Local,Venta,Lleida
159,Casa,Venta,Tarragona
160,Suelo,Venta,Tarragona
161,Piso,Alquiler,Lleida
162,Local,Venta,Tarragona
163,Oficina,Alquiler,Girona
164,Industrial,Venta,Tarragona
165,Oficina,Venta,Tarragona
166,Parking,Venta,Girona
167,Suelo,Venta,Lleida
168,Industrial,Alquiler,Barcelona
169,Suelo,Alquiler,Lleida
170,Suelo,Venta,Girona
171,Piso,Alquiler,Tarragona
172,Oficina,Venta,Girona
173,Piso,Alquiler,Lleida
174,Local,Venta,Barcelona
175,Industrial,Alquiler,Lleida
176,Suelo,Venta,Tarragona
177,Local,Venta,Tarragona
178,Industrial,Venta,Barcelona
179,Suelo,Alquiler,Tarragona
180,Oficina,Venta,Tarragona
181,Local,Alquiler,Tarragona
182,Local,Alquiler,Girona
183,Suelo,Venta,Tarragona
184,Industrial,Venta,Barcelona
185,Casa,Alquiler,Girona
186,Local,Alquiler,Barcelona
187,Casa,Venta,Lleida
188,Parking,Venta,Girona
189,Parking,Alquiler,Lleida
190,Suelo,Alquiler,Tarragona
191,Local,Venta,Girona
192,Suelo,Venta,Tarragona
193,Local,Alquiler,Girona
194,Piso,Venta,Girona
195,Piso,Alquiler,Barcelona
196,Piso,Venta,Tarragona
197,Oficina,Alquiler,Girona
198,Oficina,Venta,Lleida
199,Parking,Venta,Tarragona
200,Parking,Venta,Girona
201,Piso,Alquiler,Girona
202,Local,Alquiler,Girona
203,Local,Alquiler,Barcelona
204,Local,Venta,Girona
205,Piso,Alquiler,Lleida
206,Piso,Alquiler,Lleida
207,Casa,Venta,Lleida
208,Parking,Venta,Lleida
209,Oficina,Alquiler,Lleida
210,Parking,Alquiler,Barcelona
211,Casa,Alquiler,Barcelona
212,Suelo,Alquiler,Lleida
213,Industrial,Venta,Girona
214,Parking,Alquiler,Girona
215,Industrial,Venta,Tarragona
216,Industrial,Alquiler,Lleida
217,Suelo,Alquiler,Tarragona
218,Industrial,Alquiler,Girona
219,Industrial,Alquiler,Lleida
220,Casa,Alquiler,Barcelona
221,Local,Alquiler,Girona
222,Suelo,Alquiler,Girona
223,Oficina,Venta,Tarragona
224,Parking,Alquiler,Barcelona
225,Local,Alquiler,Tarragona
226,Casa,Venta,Lleida
227,Local,Venta,Girona
228,Oficina,Venta,Tarragona
229,Oficina,Alquiler,Tarragona
230,Local,Alquiler,Barcelona
231,Oficina,Venta,Tarragona
232,Local,Alquiler,Girona
233,Suelo,Venta,Girona
234,Suelo,Venta,Lleida
235,Industrial,Venta,Girona
236,Piso,Venta,Tarragona
237,Casa,Alquiler,Barcelona
238,Piso,Alquiler,Lleida
239,Parking,Venta,Barcelona
240,Local,Venta,Lleida
241,Suelo,Venta,Barcelona
242,Local,Venta,Lleida
243,Local,Alquiler,Tarragona
244,Casa,Venta,Barcelona
245,Local,Venta,Girona
246,Industrial,Alquiler,Barcelona
247,Suelo,Alquiler,Girona
248,Industrial,Venta,Tarragona
249,Piso,Alquiler,Lleida
250,Suelo,Venta,Lleida
251,Parking,Alquiler,Lleida
252,Parking,Venta,Tarragona
253,Piso,Venta,Girona
254,Local,Alquiler,Barcelona
255,Industrial,Venta,Girona
256,Suelo,Alquiler,Lleida
257,Suelo,Alquiler,Barcelona
258,Parking,Venta,Tarragona
259,Piso,Alquiler,Tarragona
260,Casa,Alquiler,Lleida
261,Casa,Alquiler,Barcelona
262,Oficina,Alquiler,Barcelona
263,Parking,Alquiler,Tarragona
264,Parking,Venta,Barcelona
265,Parking,Alquiler,Tarragona
266,Casa,Venta,Girona
267,Industrial,Alquiler,Girona
268,Parking,Venta,Lleida
269,Parking,Alquiler,Tarragona
270,Local,Alquiler,Lleida
271,Suelo,Venta,Lleida
272,Piso,Alquiler,Lleida
273,Piso,Alquiler,Lleida
274,Local,Alquiler,Girona
275,Oficina,Alquiler,Girona
276,Parking,Venta,Barcelona
277,Suelo,Alquiler,Girona
278,Suelo,Venta,Girona
279,Oficina,Venta,Barcelona
280,Oficina,Venta,Girona
281,Casa,Venta,Girona
282,Oficina,Alquiler,Tarragona
283,Suelo,Alquiler,Girona
284,Industrial,Alquiler,Tarragona
285,Industrial,Venta,Barcelona
286,Industrial,Alquiler,Barcelona
287,Casa,Alquiler,Lleida
288,Suelo,Venta,Lleida
289,Oficina,Alquiler,Girona
290,Casa,Alquiler,Tarragona
291,Parking,Venta,Barcelona
292,Parking,Venta,Girona
293,Oficina,Venta,Girona
294,Oficina,Venta,Girona
295,Parking,Alquiler,Barcelona
296,Suelo,Alquiler,Girona
297,Industrial,Venta,Barcelona
298,Industrial,Venta,Girona
299,Suelo,Alquiler,Tarragona
300,Casa,Alquiler,Tarragona
301,Industrial,Alquiler,Girona
302,Oficina,Venta,Girona
303,Casa,Alquiler,Barcelona
304,Oficina,Venta,Girona
305,Piso,Venta,Lleida
306,Industrial,Venta,Lleida
307,Suelo,Alquiler,Barcelona
308,Piso,Alquiler,Lleida
309,Industrial,Venta,Lleida
310,Suelo,Venta,Lleida
311,Industrial,Venta,Girona
312,Local,Alquiler,Barcelona
313,Suelo,Alquiler,Tarragona
314,Casa,Alquiler,Barcelona
315,Industrial,Alquiler,Barcelona
316,Parking,Alquiler,Barcelona
317,Suelo,Alquiler,Lleida
318,Piso,Venta,Tarragona
319,Industrial,Alquiler,Girona
320,Industrial,Alquiler,Girona
321,Suelo,Venta,Barcelona
322,Parking,Venta,Barcelona
323,Suelo,Alquiler,Barcelona
324,Piso,Venta,Girona
325,Industrial,Alquiler,Barcelona
326,Suelo,Venta,Tarragona
327,Suelo,Venta,Barcelona
328,Industrial,Venta,Lleida
329,Parking,Alquiler,Girona
330,Parking,Alquiler,Barcelona
331,Local,Alquiler,Girona
332,Piso,Venta,Barcelona
333,Industrial,Alquiler,Tarragona
334,Piso,Venta,Lleida
335,Local,Alquiler,Tarragona
336,Oficina,Venta,Girona
337,Oficina,Alquiler,Barcelona
338,Suelo,Alquiler,Girona
339,Suelo,Venta,Lleida
340,Casa,Venta,Tarragona
341,Local,Alquiler,Lleida
342,Parking,Venta,Barcelona
343,Casa,Venta,Barcelona
344,Industrial,Alquiler,Tarragona
345,Local,Venta,Tarragona
346,Industrial,Venta,Barcelona
347,Oficina,Alquiler,Girona
348,Parking,Venta,Tarragona
349,Oficina,Venta,Girona
350,Piso,Alquiler,Girona
351,Casa,Venta,Tarragona
352,Piso,Alquiler,Tarragona
353,Piso,Venta,Girona
354,Oficina,Alquiler,Tarragona
355,Parking,Alquiler,Lleida
356,Suelo,Venta,Girona
357,Piso,Venta,Barcelona
358,Parking,Venta,Lleida
359,Local,Venta,Barcelona
360,Local,Venta,Lleida
361,Casa,Venta,Lleida
362,Suelo,Alquiler,Girona
363,Local,Venta,Lleida
364,Local,Alquiler,Tarragona
365,Oficina,Venta,Lleida
366,Industrial,Alquiler,Lleida
367,Casa,Venta,Girona
368,Casa,Alquiler,Barcelona
369,Suelo,Alquiler,Tarragona
370,Oficina,Venta,Barcelona
371,Parking,Alquiler,Lleida
372,Suelo,Alquiler,Barcelona
373,Piso,Alquiler,Tarragona
374,Local,Venta,Tarragona
375,Industrial,Alquiler,Lleida
376,Oficina,Alquiler,Barcelona
377,Suelo,Alquiler,Girona
378,Piso,Venta,Girona
379,Local,Venta,Lleida
380,Casa,Venta,Girona
381,Suelo,Alquiler,Lleida
382,Industrial,Alquiler,Lleida
383,Parking,Venta,Barcelona
384,Parking,Venta,Barcelona
385,Parking,Alquiler,Girona
386,Oficina,Venta,Barcelona
387,Parking,Alquiler,Girona
388,Oficina,Alquiler,Tarragona
389,Parking,Alquiler,Tarragona
390,Suelo,Venta,Girona
391,Piso,Alquiler,Barcelona
392,Piso,Venta,Girona
393,Local,Alquiler,Barcelona
394,Casa,Alquiler,Girona
395,Parking,Alquiler,Lleida
396,Parking,Venta,Barcelona
397,Industrial,Venta,Girona
398,Industrial,Venta,Tarragona
399,Parking,Venta,Tarragona
400,Piso,Alquiler,Barcelona
401,Industrial,Alquiler,Lleida
402,Piso,Venta,Girona
403,Casa,Alquiler,Lleida
404,Local,Venta,Tarragona
405,Oficina,Venta,Barcelona
406,Industrial,Venta,Barcelona
407,Industrial,Alquiler,Barcelona
408,Parking,Venta,Girona
409,Piso,Alquiler,Lleida
410,Local,Venta,Girona
411,Local,Venta,Girona
412,Piso,Alquiler,Tarragona
413,Suelo,Venta,Lleida
414,Parking,Venta,Barcelona
415,Oficina,Alquiler,Lleida
416,Suelo,Venta,Barcelona
417,Industrial,Alquiler,Girona
418,Parking,Venta,Girona
419,Piso,Alquiler,Lleida
420,Suelo,Venta,Barcelona
421,Piso,Alquiler,Barcelona
422,Local,Alquiler,Barcelona
423,Parking,Venta,Barcelona
424,Casa,Venta,Girona
425,Oficina,Alquiler,Lleida
426,Piso,Venta,Barcelona
427,Piso,Alquiler,Lleida
428,Parking,Alquiler,Tarragona
429,Oficina,Venta,Tarragona
430,Suelo,Alquiler,Tarragona
431,Oficina,Alquiler,Lleida
432,Suelo,Venta,Tarragona
433,Local,Alquiler,Tarragona
434,Industrial,Alquiler,Girona
435,Suelo,Venta,Tarragona
436,Parking,Venta,Girona
437,Oficina,Venta,Barcelona
438,Oficina,Alquiler,Girona
439,Parking,Venta,Barcelona
440,Parking,Venta,Barcelona
441,Parking,Venta,Tarragona
442,Piso,Alquiler,Girona
443,Parking,Venta,Barcelona
444,Local,Alquiler,Girona
445,Casa,Alquiler,Tarragona
446,Parking,Alquiler,Lleida
447,Local,Alquiler,Girona
448,Local,Venta,Girona
449,Industrial,Alquiler,Lleida
450,Oficina,Venta,Barcelona
451,Suelo,Venta,Lleida
452,Suelo,Venta,Girona
453,Oficina,Alquiler,Barcelona
454,Parking,Alquiler,Barcelona
455,Piso,Venta,Lleida
456,Suelo,Alquiler,Lleida
457,Piso,Alquiler,Barcelona
458,Oficina,Venta,Girona
459,Oficina,Alquiler,Barcelona
460,Casa,Venta,Girona
461,Oficina,Alquiler,Lleida
462,Casa,Venta,Girona
463,Casa,Alquiler,Girona
464,Industrial,Alquiler,Lleida
465,Local,Alquiler,Tarragona
466,Local,Venta,Girona
467,Local,Venta,Tarragona
468,Casa,Alquiler,Barcelona
469,Parking,Venta,Tarragona
470,Casa,Venta,Lleida
471,Suelo,Venta,Tarragona
472,Parking,Alquiler,Lleida
473,Suelo,Venta,Girona
474,Suelo,Alquiler,Tarragona
475,Oficina,Alquiler,Lleida
476,Suelo,Alquiler,Lleida
477,Suelo,Alquiler,Lleida
478,Oficina,Venta,Girona
479,Suelo,Venta,Lleida
480,Oficina,Alquiler,Barcelona
481,Industrial,Venta,Tarragona
482,Oficina,Venta,Lleida
483,Casa,Venta,Girona
484,Piso,Alquiler,Tarragona
485,Piso,Venta,Girona
486,Casa,Venta,Lleida
487,Piso,Alquiler,Lleida
488,Casa,Venta,Tarragona
489,Parking,Alquiler,Barcelona
490,Piso,Alquiler,Girona
491,Local,Venta,Lleida
492,Parking,Alquiler,Lleida
493,Piso,Venta,Barcelona
494,Oficina,Venta,Barcelona
495,Piso,Alquiler,Lleida
496,Oficina,Venta,Girona
497,Suelo,Alquiler,Tarragona
498,Casa,Venta,Barcelona
499,Industrial,Alquiler,Lleida
500,Casa,Venta,Lleida
501,Piso,Alquiler,Lleida
502,Piso,Venta,Barcelona
503,Oficina,Venta,Lleida
504,Industrial,Venta,Tarragona
505,Industrial,Alquiler,Tarragona
506,Industrial,Alquiler,Tarragona
507,Local,Venta,Barcelona
508,Parking,Venta,Tarragona
509,Industrial,Alquiler,Barcelona
510,Industrial,Venta,Lleida
511,Parking,Alquiler,Tarragona
512,Casa,Alquiler,Barcelona
513,Casa,Venta,Tarragona
514,Oficina,Alquiler,Barcelona
515,Oficina,Alquiler,Barcelona
516,Industrial,Venta,Girona
517,Casa,Venta,Girona
518,Piso,Alquiler,Barcelona
519,Suelo,Alquiler,Lleida
520,Parking,Venta,Barcelona
521,Casa,Venta,Lleida
522,Suelo,Alquiler,Girona
523,Piso,Alquiler,Barcelona
524,Parking,Venta,Lleida
525,Parking,Venta,Girona
526,Industrial,Alquiler,Barcelona
527,Casa,Alquiler,Lleida
528,Industrial,Alquiler,Lleida
529,Local,Venta,Lleida
530,Industrial,Alquiler,Barcelona
531,Local,Alquiler,Lleida
532,Parking,Venta,Tarragona
533,Oficina,Venta,Girona
534,Industrial,Alquiler,Lleida
535,Casa,Venta,Girona
536,Local,Alquiler,Girona
537,Industrial,Alquiler,Girona
538,Parking,Alquiler,Barcelona
539,Parking,Alquiler,Tarragona
540,Casa,Alquiler,Girona
541,Oficina,Venta,Barcelona
542,Industrial,Venta,Tarragona
543,Oficina,Venta,Tarragona
544,Local,Venta,Lleida
545,Industrial,Venta,Lleida
546,Casa,Alquiler,Girona
547,Parking,Venta,Barcelona
548,Local,Venta,Girona
549,Casa,Alquiler,Lleida
550,Piso,Alquiler,Girona
551,Local,Venta,Barcelona
552,Oficina,Venta,Barcelona
553,Parking,Venta,Barcelona
554,Piso,Venta,Girona
555,Suelo,Venta,Lleida
556,Piso,Alquiler,Girona
557,Piso,Alquiler,Girona
558,Local,Alquiler,Tarragona
559,Industrial,Alquiler,Tarragona
560,Parking,Alquiler,Lleida
561,Piso,Alquiler,Girona
562,Piso,Venta,Barcelona
563,Casa,Alquiler,Lleida
564,Suelo,Venta,Barcelona
565,Local,Alquiler,Girona
566,Local,Venta,Barcelona
567,Local,Venta,Lleida
568,Local,Alquiler,Tarragona
569,Suelo,Alquiler,Lleida
570,Industrial,Alquiler,Tarragona
571,Local,Alquiler,Tarragona
572,Parking,Venta,Tarragona
573,Local,Alquiler,Lleida
574,Parking,Alquiler,Barcelona
575,Casa,Venta,Barcelona
576,Oficina,Venta,Barcelona
577,Oficina,Venta,Girona
578,Industrial,Venta,Girona
579,Parking,Venta,Tarragona
580,Casa,Venta,Tarragona
581,Industrial,Venta,Lleida
582,Local,Venta,Tarragona
583,Casa,Alquiler,Girona
584,Parking,Alquiler,Girona
585,Oficina,Alquiler,Lleida
586,Piso,Alquiler,Barcelona
587,Local,Alquiler,Tarragona
588,Oficina,Venta,Tarragona
589,Suelo,Venta,Tarragona
590,Suelo,Alquiler,Girona
591,Parking,Alquiler,Girona
592,Suelo,Venta,Tarragona
593,Industrial,Alquiler,Tarragona
594,Industrial,Venta,Barcelona
595,Parking,Venta,Lleida
596,Casa,Venta,Lleida
597,Casa,Venta,Lleida
598,Local,Alquiler,Lleida
599,Oficina,Alquiler,Barcelona
600,Casa,Alquiler,Girona
601,Industrial,Venta,Girona
602,Casa,Alquiler,Barcelona
603,Local,Alquiler,Lleida
604,Piso,Alquiler,Lleida
605,Parking,Alquiler,Lleida
606,Parking,Venta,Barcelona
607,Suelo,Venta,Lleida
608,Suelo,Venta,Lleida
609,Local,Venta,Barcelona
610,Casa,Venta,Barcelona
611,Casa,Alquiler,Girona
612,Industrial,Venta,Barcelona
613,Casa,Alquiler,Barcelona
614,Local,Venta,Lleida
615,Piso,Alquiler,Barcelona
616,Piso,Venta,Lleida
617,Oficina,Alquiler,Lleida
618,Suelo,Alquiler,Barcelona
619,Suelo,Alquiler,Barcelona
620,Industrial,Venta,Tarragona
621,Piso,Venta,Barcelona
622,Local,Venta,Tarragona
623,Industrial,Venta,Tarragona
624,Industrial,Alquiler,Girona
625,Piso,Alquiler,Tarragona
626,Parking,Alquiler,Lleida
627,Casa,Alquiler,Tarragona
628,Piso,Venta,Girona
629,Parking,Alquiler,Girona
630,Parking,Alquiler,Barcelona
631,Piso,Venta,Girona
632,Parking,Alquiler,Girona
633,Piso,Alquiler,Tarragona
634,Local,Alquiler,Girona
635,Piso,Alquiler,Tarragona
636,Parking,Alquiler,Barcelona
637,Casa,Venta,Tarragona
638,Piso,Alquiler,Girona
639,Industrial,Alquiler,Tarragona
640,Oficina,Venta,Girona
641,Industrial,Venta,Girona
642,Industrial,Alquiler,Lleida
643,Industrial,Alquiler,Tarragona
644,Industrial,Venta,Tarragona
645,Parking,Alquiler,Lleida
646,Piso,Venta,Barcelona
647,Oficina,Venta,Girona
648,Piso,Alquiler,Lleida
649,Parking,Venta,Lleida
650,Piso,Venta,Girona
651,Oficina,Alquiler,Girona
652,Piso,Venta,Tarragona
653,Oficina,Alquiler,Girona
654,Oficina,Venta,Girona
655,Oficina,Venta,Tarragona
656,Casa,Venta,Lleida
657,Parking,Venta,Tarragona
658,Casa,Alquiler,Barcelona
659,Piso,Venta,Tarragona
660,Local,Venta,Girona
661,Parking,Alquiler,Girona
662,Local,Alquiler,Barcelona
663,Local,Alquiler,Girona
664,Local,Alquiler,Girona
665,Suelo,Venta,Lleida
666,Oficina,Venta,Barcelona
667,Parking,Venta,Barcelona
668,Parking,Venta,Tarragona
669,Industrial,Venta,Barcelona
670,Suelo,Alquiler,Barcelona
671,Local,Alquiler,Tarragona
672,Industrial,Venta,Barcelona
673,Parking,Venta,Girona
674,Oficina,Alquiler,Barcelona
675,Casa,Venta,Girona
676,Industrial,Alquiler,Tarragona
677,Industrial,Venta,Barcelona
678,Suelo,Venta,Tarragona
679,Piso,Alquiler,Tarragona
680,Industrial,Alquiler,Tarragona
681,Oficina,Venta,Lleida
682,Piso,Alquiler,Lleida
683,Parking,Venta,Tarragona
684,Piso,Venta,Girona
685,Suelo,Alquiler,Tarragona
686,Piso,Alquiler,Lleida
687,Suelo,Venta,Lleida
688,Parking,Venta,Girona
689,Parking,Alquiler,Tarragona
690,Casa,Alquiler,Girona
691,Oficina,Venta,Lleida
692,Suelo,Venta,Barcelona
693,Piso,Alquiler,Lleida
694,Local,Venta,Lleida
695,Suelo,Alquiler,Tarragona
696,Local,Alquiler,Barcelona
697,Parking,Alquiler,Girona
698,Suelo,Alquiler,Girona
699,Local,Alquiler,Girona
700,Casa,Venta,Girona
701,Piso,Alquiler,Girona
702,Casa,Venta,Tarragona
703,Piso,Alquiler,Barcelona
704,Oficina,Alquiler,Tarragona
705,Piso,Alquiler,Girona
706,Industrial,Venta,Girona
707,Industrial,Venta,Tarragona
708,Casa,Alquiler,Tarragona
709,Parking,Venta,Lleida
710,Casa,Venta,Tarragona
711,Parking,Alquiler,Lleida
712,Casa,Venta,Barcelona
713,Casa,Alquiler,Lleida
714,Oficina,Alquiler,Lleida
715,Oficina,Alquiler,Barcelona
716,Local,Alquiler,Tarragona
717,Suelo,Alquiler,Girona
718,Oficina,Venta,Tarragona
719,Casa,Venta,Tarragona
720,Industrial,Venta,Tarragona
721,Industrial,Alquiler,Girona
722,Casa,Alquiler,Girona
723,Oficina,Alquiler,Barcelona
724,Oficina,Alquiler,Barcelona
725,Parking,Venta,Girona
726,Suelo,Alquiler,Girona
727,Suelo,Venta,Barcelona
728,Casa,Alquiler,Lleida
729,Parking,Alquiler,Tarragona
730,Casa,Venta,Girona
731,Suelo,Venta,Tarragona
732,Oficina,Alquiler,Girona
733,Piso,Venta,Lleida
734,Oficina,Alquiler,Barcelona
735,Industrial,Venta,Barcelona
736,Suelo,Alquiler,Lleida
737,Suelo,Alquiler,Lleida
738,Piso,Venta,Barcelona
739,Parking,Alquiler,Barcelona
740,Parking,Venta,Tarragona
741,Suelo,Venta,Barcelona
742,Local,Venta,Lleida
743,Casa,Venta,Barcelona
744,Suelo,Venta,Lleida
745,Oficina,Alquiler,Tarragona
746,Suelo,Alquiler,Barcelona
747,Industrial,Alquiler,Girona
748,Local,Venta,Lleida
749,Parking,Alquiler,Girona
750,Parking,Venta,Girona
751,Local,Venta,Barcelona
752,Local,Venta,Lleida
753,Piso,Alquiler,Tarragona
754,Oficina,Venta,Tarragona
755,Industrial,Alquiler,Tarragona
756,Industrial,Venta,Barcelona
757,Piso,Venta,Barcelona
758,Piso,Alquiler,Tarragona
759,Casa,Alquiler,Barcelona
760,Local,Venta,Girona
761,Parking,Venta,Barcelona
762,Piso,Alquiler,Girona
763,Oficina,Alquiler,Girona
764,Local,Alquiler,Girona
765,Piso,Alquiler,Girona
766,Piso,Alquiler,Barcelona
767,Piso,Venta,Girona
768,Casa,Venta,Barcelona
769,Oficina,Venta,Lleida
770,Industrial,Venta,Girona
771,Suelo,Venta,Barcelona
772,Suelo,Venta,Lleida
773,Local,Alquiler,Tarragona
774,Local,Venta,Lleida
775,Parking,Venta,Lleida
776,Suelo,Alquiler,Tarragona
777,Local,Alquiler,Barcelona
778,Local,Alquiler,Tarragona
779,Local,Venta,Tarragona
780,Suelo,Alquiler,Lleida
781,Suelo,Venta,Girona
782,Oficina,Alquiler,Girona
783,Parking,Alquiler,Tarragona
784,Casa,Alquiler,Barcelona
785,Parking,Venta,Lleida
786,Casa,Venta,Barcelona
787,Casa,Venta,Girona
788,Piso,Venta,Barcelona
789,Piso,Venta,Tarragona
790,Industrial,Venta,Girona
791,Piso,Venta,Tarragona
792,Piso,Venta,Lleida
793,Oficina,Venta,Tarragona
794,Casa,Alquiler,Tarragona
795,Casa,Alquiler,Lleida
796,Oficina,Venta,Barcelona
797,Piso,Venta,Girona
798,Suelo,Alquiler,Tarragona
799,Local,Alquiler,Tarragona
800,Local,Alquiler,Tarragona
801,Suelo,Venta,Lleida
802,Local,Alquiler,Tarragona
803,Industrial,Venta,Girona
804,Piso,Alquiler,Barcelona
805,Oficina,Venta,Girona
806,Suelo,Alquiler,Tarragona
807,Oficina,Alquiler,Girona
808,Casa,Venta,Tarragona
809,Industrial,Venta,Barcelona
810,Industrial,Venta,Lleida
811,Oficina,Venta,Tarragona
812,Casa,Venta,Girona
813,Oficina,Alquiler,Barcelona
814,Industrial,Venta,Tarragona
815,Parking,Alquiler,Barcelona
816,Suelo,Alquiler,Barcelona
817,Suelo,Alquiler,Tarragona
818,Parking,Venta,Barcelona
819,Piso,Alquiler,Tarragona
820,Parking,Venta,Girona
821,Industrial,Venta,Tarragona
822,Parking,Venta,Lleida
823,Piso,Alquiler,Girona
824,Local,Venta,Tarragona
825,Oficina,Alquiler,Girona
826,Industrial,Venta,Tarragona
827,Industrial,Alquiler,Barcelona
828,Local,Venta,Lleida
829,Local,Venta,Lleida
830,Parking,Venta,Girona
831,Casa,Alquiler,Tarragona
832,Oficina,Alquiler,Lleida
833,Casa,Venta,Barcelona
834,Parking,Venta,Lleida
835,Suelo,Venta,Tarragona
836,Local,Venta,Girona
837,Piso,Alquiler,Girona
838,Local,Venta,Lleida
839,Parking,Alquiler,Girona
840,Piso,Venta,Girona
841,Suelo,Venta,Barcelona
842,Casa,Venta,Barcelona
843,Local,Alquiler,Tarragona
844,Industrial,Venta,Tarragona
